ID,Severity,Category,Title,File,Line,AffectedFeature,Impact,Reproduction,Recommendation,Confidence,Status
SEC-001,P1,Обход лимита / расход средств,Дневной лимит AI обходится параллельными запросами: проверка и списание не атомарны,api/ai/_shared.js,88,AI-ассистент → бюджет тарифа,"Прямой денежный ущерб владельцу ключа Anthropic: платит он, лимит не действует. ~33-кратное превышение при 100 потоках, повторяемо ежедневно и с любого числа бесплатных аккаунтов. Одновременно обесценивается платная подписка: тариф FREE даёт то, за что берут деньги.","1. Войти любым обычным аккаунтом (тариф FREE). ⏎ 2. Взять access_token из сессии Supabase. ⏎ 3. Отправить 100 запросов POST /api/ai/chat ОДНОВРЕМЕННО (Promise.all / xargs -P 100), а не последовательно. ⏎ 4. Все 100 читают spent=0, все проходят checkBudget, все резервируют и все уходят в Anthropic. ⏎ 5. Повторяемо каждые сутки: период — календарный день UTC.","Вернуть итог из ai_usage_add и решать по нему, а не по прочитанному заранее: ⏎  ⏎ // _shared.js ⏎ export async function recordSpend(userId, micro, period, { count = true } = {}) { ⏎   const delta = Math.round(Number(micro) || 0) ⏎   if (!delta) return { ok: true, total: null } ⏎   const { data, error } = await admin().rpc('ai_usage_add', {...}) ⏎   if (error) { console.error(...); return { ok: false, total: null } } ⏎   return { ok: true, total: Number(data) }      // ← итог больше не теряется ⏎ } ⏎  ⏎ // chat.js / vision.js ⏎ const r = await reserve(user.id, reserved, period) ⏎ if (!r.ok) return res.status(503).json({ error: 'accounting_unavailable' }) ⏎ const budget = budgetForTier(tier) ⏎ if (budget !== null && r.total > budget) { ⏎   await settle(user.id, { reserved, actual: 0 }, period)   // вернуть резерв ⏎   return budgetError(res, { reason: 'exhausted', remaining: 0 }, tier) ⏎ } ⏎  ⏎ После этого решение принимается по значению, полученному ИЗ атомарной операции, и гонка закрывается без блокировок.",HIGH,CONFIRMED
PRIV-001,P1,GDPR / раскрытие третьих лиц,"Anthropic, Stripe, Telegram и Open Food Facts не раскрыты ни в политике, ни в реестре обработки; политика опубликована как незаполненный шаблон",src/components/LegalSheet.jsx,38,Правовые документы ↔ фактическая обработка данных,"Для приложения с немецкими правовыми текстами (то есть нацеленного на рынок ЕС), обрабатывающего данные по ст. 9, это нарушение ст. 13, 30 и, при отсутствии договоров, ст. 28 GDPR. Отсутствие названного ответственного лица и контакта делает невозможной реализацию прав субъекта — то самое, что проверяется в первую очередь по жалобе. Это блокирующий пункт для публичного запуска в ЕС, а не косметика.",1. Открыть приложение → Профиль → Правовая информация → Datenschutz. ⏎ 2. Прочитать раздел 4 «Empfänger / Auftragsverarbeiter». ⏎ 3. Сверить со списком реальных исходящих запросов в DevTools → Network при использовании AI-ассистента и сканера штрихкодов.,"До запуска: ⏎ 1. Дополнить LegalSheet → Datenschutz раздел 4: Anthropic PBC (США, SCC) — обработка данных о питании и фотографий для функции ассистента; Stripe Inc. (США) — платежи; Telegram (обращения в поддержку); Open Food Facts (запрос сведений о продукте по штрихкоду). ⏎ 2. В разделе 2 добавить фотографии еды как отдельную категорию. ⏎ 3. Дополнить verzeichnis-verarbeitungstaetigkeiten.md двумя новыми видами деятельности: «AI-ассистент» (ст. 9(2)(a), получатель Anthropic) и «Поддержка и модерация» (получатель Telegram), плюс «Оплата подписки» (Stripe). ⏎ 4. Внести Anthropic, Stripe, Telegram в avv-checkliste.md и заключить DPA (у Anthropic и Stripe они стандартные, принимаются в кабинете). ⏎ 5. Заполнить все [плейсхолдеры] и снять красную плашку «Шаблон» — пока она есть, документ юридически не является политикой. ⏎ 6. Убедиться, что согласие на AI берётся отдельно: это передача данных ст. 9 новому получателю, и молчаливым оно быть не может.",HIGH,CONFIRMED
PRIV-002,P1,Право на удаление / хранилище,"Загруженные изображения не удаляются никогда — в том числе при удалении поста и всего аккаунта; бакеты открыты на чтение",src/lib/supabase.js,331,Мысли с фото · фото в чате · удаление аккаунта,"Нарушение права на удаление (ст. 17 GDPR): после удаления аккаунта персональные данные — фотографии, в том числе с людьми и обстановкой, — продолжают отдаваться с сервера проекта. Дополнительно: фото из «закрытых» мыслей не защищены ничем, кроме неразглашения ссылки, и бесконечный рост платного хранилища.","1. Пользователь A публикует мысль с фотографией, видимость «только подписчикам». ⏎ 2. Подписчик B открывает ленту, из DevTools копирует URL изображения. ⏎ 3. A блокирует B, затем удаляет мысль, затем удаляет аккаунт целиком. ⏎ 4. B (или кто угодно, кому B передал ссылку, в том числе без входа в приложение) открывает тот же URL — изображение отдаётся.","Короткий путь (снимает утечку после удаления): ⏎ 1. Хранить в posts не публичный URL, а путь в бакете (`user_id/uuid.jpg`). ⏎ 2. Удалять объект вместе со строкой. Надёжнее — триггером в базе через очередь на удаление, а не из клиента: клиент может закрыть вкладку между двумя вызовами. ⏎ 3. В deleteAccount перед удалением аккаунта выгрузить список объектов пользователя (`storage.from(b).list(uid)`) и удалить их. ⏎  ⏎ Правильный путь (снимает и бессрочный пропуск): ⏎ 4. Перевести post-images и chat-images на модель dm-media: `public = false`, политика чтения через `can_view_post` / участие в диалоге, клиент получает подписанную ссылку. Тогда отписка и блокировка начинают действовать и на картинки. ⏎ Миграция существующих файлов: бакет переключается в private одной строкой, ссылки в старых постах переписываются на пути пакетным скриптом.",HIGH,CONFIRMED
SEC-002,P2,Подписки / повышение прав,Незаданная переменная цены превращает неизвестный прайс в высший тариф AI_PREMIUM,api/stripe/_shared.js,26,Вебхук Stripe → тариф пользователя,"Бесплатная выдача высшего тарифа. В деньгах это безлимитный расход на Sonnet за счёт владельца. Эксплуатируемость зависит от формы события Stripe и оценивается как низкая, но цена ошибки высока, а исправление — одна строка.","Требуется событие подписки, у которого не читается items.data[0].price.id (подписка без элементов, отличие формы объекта между версиями API, частично развёрнутый объект в полезной нагрузке вебхука). Статус при этом должен быть живым (active/trialing/past_due). ⏎ Прямой проверки на боевом Stripe не проводилось — оценка сделана по коду, поэтому эксплуатируемость помечена как требующая подтверждения, а сам дефект подтверждён.","Строить карту только из заданных переменных и требовать явного priceId: ⏎  ⏎ export const TIER_BY_PRICE = Object.fromEntries( ⏎   [[process.env.STRIPE_PRICE_AI, 'AI'], ⏎    [process.env.STRIPE_PRICE_AI_PLUS, 'AI_PLUS'], ⏎    [process.env.STRIPE_PRICE_AI_PREMIUM, 'AI_PREMIUM']] ⏎   .filter(([id]) => typeof id === 'string' && id.length > 0) ⏎ ) ⏎  ⏎ // webhook.js ⏎ const priceId = subscription?.items?.data?.[0]?.price?.id ⏎ if (!priceId) console.error('[stripe/webhook] у подписки нет цены', subscription?.id) ⏎ const mappedTier = (priceId && TIER_BY_PRICE[priceId]) || 'FREE' ⏎  ⏎ И дополнительно задокументировать STRIPE_PRICE_AI_PREMIUM в .env.example.",HIGH,CONFIRMED
SEC-003,P2,Злоупотребление / отсутствие аутентификации,"/api/feedback открыт без входа, защищён только заголовком Origin и счётчиком в памяти процесса",api/feedback.js,1,Кнопка «Совет по приложению» → Telegram владельца,"Затопление личного чата владельца (и второго адресата) — вплоть до того, что настоящие обращения из поддержки в этом потоке теряются. Расход квоты Telegram Bot API и выполнения функций. Прямой утечки данных нет.","curl -s -X POST https://www.eataps.com/api/feedback \ ⏎   -H 'Content-Type: application/json' \ ⏎   -H 'Origin: https://www.eataps.com' \ ⏎   -H ""X-Forwarded-For: 10.0.0.$((RANDOM%255))"" \ ⏎   -d '{""text"":""проверка""}' ⏎  ⏎ Запустить в цикле с параллелизмом: каждый запрос со своим X-Forwarded-For попадает в отдельную корзину, а холодные экземпляры начинают счёт заново. ⏎ Проверка проводилась ТОЛЬКО чтением кода; по боевому адресу запросы не отправлялись.","Кратко: либо потребовать вход, как в api/support.js, либо перенести лимит в общее хранилище. ⏎ 1. Самое дешёвое и правильное: `const user = await getUserFromRequest(req); if (!user) return res.status(401)…` — «совет по приложению» вполне может требовать аккаунта, как и поддержка. ⏎ 2. Если анонимность нужна принципиально — вести лимит в таблице Postgres (как уже сделано в api/support.js через support_messages) или включить Vercel Firewall / BotID для этого маршрута. ⏎ 3. Ключ лимита брать не из левого элемента XFF, а из значения, которому можно верить на этой платформе. ⏎ 4. Вынести CHAT_IDS в переменную окружения — TG_ADMIN_CHAT_IDS уже существует ради этого в api/telegram/_tg.js.",HIGH,CONFIRMED
DB-001,P2,Целостность развёртывания,"setup_all.sql правлен руками, новая миграция не зарегистрирована в сборке; следующая пересборка молча отменит правку",supabase/setup_all.sql,5740,Установка базы с нуля · обновление прода,"Расхождение схемы между новой установкой и прод-базой — тот самый класс ошибок, ради которого в проекте написаны build-setup-all.mjs и sqlGuard.test.js. Правка теряется незаметно: тест упадёт, но конечная схема окажется другой. Плюс на ветке лежит красная сборка.","1. `node scripts/build-setup-all.mjs` (обычный шаг при любом изменении SQL). ⏎ 2. Скрипт пересоберёт setup_all.sql строго из SOURCES. ⏎ 3. Обе ручные правки исчезнут, миграции с favRestaurant в списке нет. ⏎ 4. База, поднятая с нуля по новому setup_all.sql, не отдаёт favRestaurant в visible_diary — поле профиля молча пропадает у друзей, хотя в интерфейсе оно есть.","1. Отменить ручные правки: `git checkout -- supabase/setup_all.sql`. ⏎ 2. Добавить 'supabase/migrations/2026-09-11_fav_restaurant.sql' последней строкой в SOURCES (scripts/build-setup-all.mjs). ⏎ 3. `node scripts/build-setup-all.mjs`. ⏎ 4. `npm test` — sqlGuard должен позеленеть. ⏎ 5. Не коммитить, пока `npm run sql:verify` не проходит.",HIGH,CONFIRMED
SEC-004,P2,Подписки / целостность состояния,Вебхук Stripe не защищён от переупорядоченной доставки: позднее старое событие воскрешает отменённый тариф,api/stripe/webhook.js,88,Жизненный цикл подписки,"Продолжение платного доступа после отмены или неоплаты. Денежные потери ограничены, но восстановление состояния ручное. Обратный случай (отмена «затирает» продление) бьёт по платящему пользователю.","Смоделировать двумя вызовами обработчика с корректной подписью: сначала событие customer.subscription.deleted (status canceled), затем customer.subscription.updated со СТАРЫМ event.created и status active. В базе останется живой тариф.","Добавить колонку и сравнение: ⏎  ⏎ alter table public.subscriptions ⏎   add column if not exists last_event_at timestamptz; ⏎  ⏎ // webhook.js ⏎ await admin().from('subscriptions').upsert({ …, last_event_at: new Date(event.created * 1000).toISOString() }) ⏎   // и отбрасывать событие, если в строке уже стоит более поздний last_event_at ⏎  ⏎ Надёжнее — перенести запись в RPC с условием `where last_event_at is null or last_event_at <= $new`, чтобы проверка и запись были одной атомарной операцией, как это сделано в save_app_state.",MEDIUM,PROBABLE
PRIV-003,P2,GDPR / переносимость,"Выгрузка данных не включает переписку, мысли, комментарии, реакции, события и социальный граф",src/components/SettingsPanels.jsx,526,Настройки → Данные → Выгрузка,"Неполное исполнение ст. 15/20 GDPR. Риск ниже, чем у PRIV-001, поскольку обязанность исполнима и вручную по запросу, но для приложения, которое обещает самообслуживание, это пробел.","1. Профиль → Настройки → Данные → Выгрузить. ⏎ 2. Открыть eataps-data.json. ⏎ 3. Убедиться, что переписки, мыслей, подписок и событий в файле нет.","Добавить серверную сборку выгрузки — одна SECURITY DEFINER функция, которая по auth.uid() собирает jsonb из всех таблиц с персональными данными владельца (messages где sender/recipient = uid, posts, post_comments, post_reactions, follows в обе стороны, notifications, promo_grants, support_messages, close_friends, diary_access, user_mutes, blocks), и отдавать её результат тем же файлом. Заодно это даст основу для ответа на запрос по ст. 15.",HIGH,CONFIRMED
UX-001,P3,Целостность данных / ввод,Количество продукта не ограничено сверху: 999999999999 г принимаются и портят всю статистику,src/lib/foods.js,716,Добавление еды · рецепты · добавки,"Не безопасность, а качество данных — но восстановление требует найти и удалить запись, а в статистике это выглядит как поломка приложения. Достижимо обычной опечаткой (залипшая клавиша, вставка из буфера), не только намеренно. Смягчение есть: запись удаляется, а день можно исключить из статистики.","1. Дневник → «+» на любом приёме → выбрать любой продукт. ⏎ 2. В поле количества ввести 999999999999. ⏎ 3. Добавить. ⏎ 4. Открыть Статистику: средние за неделю и месяц, графики и цели искажены на порядки.","Добавить границу в sanitizeAmount (одно место на все шесть полей): ⏎  ⏎ export const MAX_AMOUNT = 100000   // 100 кг — заведомо выше любого реального приёма ⏎  ⏎ export function sanitizeAmount(raw, max = MAX_AMOUNT) { ⏎   const s = String(raw ?? '').replace(/[^\d.,]/g, '').replace(/,/g, '.') ⏎   const dot = s.indexOf('.') ⏎   const clean = dot === -1 ? s : s.slice(0, dot + 1) + s.slice(dot + 1).replace(/\./g, '') ⏎   if (clean === '' || clean === '.') return clean ⏎   const n = Number(clean) ⏎   return Number.isFinite(n) && n > max ? String(max) : clean ⏎ } ⏎  ⏎ Важно вернуть именно строку и сохранить «12.» (незаконченный ввод дробного) — на это уже есть тест в foodSearch.test.js:323.",HIGH,CONFIRMED
BUG-001,P3,Устойчивость расчёта,"computeTargets не проверяет вход: нечисловой профиль даёт NaN во всех целях, Infinity в весе — бесконечные калории",src/lib/nutrition.js,69,Цели по калориям и БЖУ,"Самостоятельно вред невелик и ограничен собственным экраном пользователя. Значимость в другом: это единственная точка, где расчёт доверяет форме входных данных, и она же — источник цифр для всего приложения, включая то, что видят друзья через visible_diary.","Прямого пути через интерфейс нет — онбординг диапазоны проверяет. Воспроизводится подменой локального кэша: ⏎ 1. В DevTools → Application → localStorage найти ключ eataps:state:<uid>. ⏎ 2. В state.profile заменить weight на строку ""х"" или удалить поле. ⏎ 3. Перезагрузить. ⏎ 4. На главном экране цель по калориям отображается как NaN. ⏎ Статус CONFIRMED относится к отсутствию защиты в расчёте (доказано запуском); достижимость обычным пользователем — ограниченная, отсюда MEDIUM.","Поставить защиту в самом расчёте — он вызывается из нескольких мест, и полагаться на то, что каждое проверит вход, нельзя: ⏎  ⏎ export function computeTargets(profile) { ⏎   const num = (v, lo, hi, dflt) => { ⏎     const n = Number(v) ⏎     return Number.isFinite(n) && n >= lo && n <= hi ? n : dflt ⏎   } ⏎   const weight = num(profile?.weight, 20, 400, null) ⏎   const height = num(profile?.height, 100, 250, null) ⏎   const age    = num(profile?.age, 5, 120, null) ⏎   if (weight === null || height === null || age === null) return null   // «профиль не заполнен» ⏎   … ⏎ } ⏎  ⏎ и в вызывающих местах показывать приглашение дозаполнить профиль вместо чисел. Диапазоны стоит взять теми же, что уже в setDayWeight (20–400) — тогда двух разных представлений о допустимом весе в проекте не будет.",MEDIUM,CONFIRMED
