Type,Name,File,Feature,Tested,StaticChecked,RuntimeChecked,Status,FindingIDs,Notes
Экран,S-01 Онбординг,src/components/Onboarding.jsx,"анкета, цели, расчёт нормы",нет,да,нет,🚨 ISSUE FOUND,BUG-001,"Открывается: первый запуск. Проверено чтением кода; браузерного прогона не было."
Экран,S-02 День (дневник),src/components/DayScreen.jsx,"приёмы пищи, кольца, вес, активность",нет,да,нет,✅ AUDITED,,"Открывается: вкладка «День». Проверено чтением кода; браузерного прогона не было."
Экран,S-03 Лист добавления еды,src/components/AddMealSheet.jsx,"поиск, порции, штрихкод, шаблоны, рецепты",нет,да,нет,🚨 ISSUE FOUND,UX-001,"Открывается: кнопка «+» на приёме. Проверено чтением кода; браузерного прогона не было."
Экран,S-04 История,src/components/HistoryScreen.jsx,"выбор дня, повтор дня",нет,да,нет,✅ AUDITED,,"Открывается: календарь на «Дне». Проверено чтением кода; браузерного прогона не было."
Экран,S-05 Статистика,src/components/StatsScreen.jsx,"графики, средние, тренды",нет,да,нет,✅ AUDITED,,"Открывается: иконка на «Дне». Проверено чтением кода; браузерного прогона не было."
Экран,S-06 AI-ассистент,src/components/AITab.jsx → AIHomeScreen,"чат, фото еды, тон, лимиты",нет,да,нет,🚨 ISSUE FOUND,"SEC-001,AI-001","Открывается: вкладка «AI». Проверено чтением кода; браузерного прогона не было."
Экран,S-07 Тарифы AI,src/components/AIPlansScreen.jsx,"покупка подписки, промокод",нет,да,нет,🚨 ISSUE FOUND,SEC-002,"Открывается: из AI при исчерпании. Проверено чтением кода; браузерного прогона не было."
Экран,S-08 Лента,src/components/FeedTab.jsx → FeedScreen,"мысли друзей, реакции, ответы",нет,да,нет,✅ AUDITED,,"Открывается: вкладка «Лента». Проверено чтением кода; браузерного прогона не было."
Экран,S-09 Общение (входящие),src/components/messaging/InboxScreen.jsx,"список диалогов, запросы",нет,да,нет,✅ AUDITED,,"Открывается: вкладка «Общение». Проверено чтением кода; браузерного прогона не было."
Экран,S-10 Чат,src/components/messaging/ChatScreen.jsx,"сообщения, медиа, реакции, ответы",нет,да,нет,🚨 ISSUE FOUND,"SEC-005,PRIV-002","Открывается: диалог из входящих. Проверено чтением кода; браузерного прогона не было."
Экран,S-11 Новое сообщение,src/components/messaging/NewMessageScreen.jsx,"выбор адресата, создание группы",нет,да,нет,✅ AUDITED,,"Открывается: из входящих. Проверено чтением кода; браузерного прогона не было."
Экран,S-12 Запросы на переписку,src/components/messaging/MessageRequestsScreen.jsx,принять/отклонить,нет,да,нет,✅ AUDITED,,"Открывается: из входящих. Проверено чтением кода; браузерного прогона не было."
Экран,S-13 О диалоге,src/components/messaging/ConversationInfo.jsx,"участники, роли, медиа, выход",нет,да,нет,✅ AUDITED,,"Открывается: шапка чата. Проверено чтением кода; браузерного прогона не было."
Экран,S-14 Профиль (свой),src/components/ProfileScreen.jsx,"счётчики, разделы, события",нет,да,нет,✅ AUDITED,,"Открывается: вкладка «Профиль». Проверено чтением кода; браузерного прогона не было."
Экран,S-15 Профиль (чужой),src/components/UserProfileView.jsx,"подписка, мысли, дневник",нет,да,нет,✅ AUDITED,,"Открывается: из поиска/ленты. Проверено чтением кода; браузерного прогона не было."
Экран,S-16 Публичный профиль,src/components/PublicProfile.jsx,"обзор, действия",нет,да,нет,✅ AUDITED,,"Открывается: из карточки человека. Проверено чтением кода; браузерного прогона не было."
Экран,S-17 Мои данные профиля,src/components/MyProfileSheet.jsx,"имя, био, ник, аватар",нет,да,нет,✅ AUDITED,,"Открывается: из «Профиля». Проверено чтением кода; браузерного прогона не было."
Экран,S-18 Настройки,src/components/SettingsScreen.jsx,корень настроек,нет,да,нет,✅ AUDITED,,"Открывается: из «Профиля». Проверено чтением кода; браузерного прогона не было."
Экран,S-19 Панели настроек,src/components/SettingsPanels.jsx,"тема, данные, аккаунт, выгрузка, удаление",нет,да,нет,🚨 ISSUE FOUND,PRIV-003,"Открывается: из настроек. Проверено чтением кода; браузерного прогона не было."
Экран,S-20 Приватность,src/components/social/PrivacyHub.jsx,"закрытость, переписка, связи, дневник",нет,да,нет,🚨 ISSUE FOUND,UX-002,"Открывается: из настроек. Проверено чтением кода; браузерного прогона не было."
Экран,S-21 Списки связей,src/components/social/RelationListScreen.jsx,"подписчики, близкие, заблокированные",нет,да,нет,✅ AUDITED,,"Открывается: из приватности/профиля. Проверено чтением кода; браузерного прогона не было."
Экран,S-22 Просьбы о подписке,src/components/social/FollowRequestsScreen.jsx,принять/отклонить,нет,да,нет,✅ AUDITED,,"Открывается: из «Профиля». Проверено чтением кода; браузерного прогона не было."
Экран,S-23 События,src/components/NotificationsScreen.jsx,"уведомления, прочтение",нет,да,нет,✅ AUDITED,,"Открывается: из «Профиля». Проверено чтением кода; браузерного прогона не было."
Экран,S-24 Поиск людей,src/components/UserSearch.jsx,поиск по нику и имени,нет,да,нет,🚨 ISSUE FOUND,UX-003,"Открывается: из «Профиля»/ленты. Проверено чтением кода; браузерного прогона не было."
Экран,S-25 Челленджи,src/components/ChallengesScreen.jsx,"создание, участие, таблица",нет,да,нет,✅ AUDITED,,"Открывается: из «Профиля». Проверено чтением кода; браузерного прогона не было."
Экран,S-26 Тренер,src/components/CoachScreen.jsx,"связь с тренером, комментарии дня",нет,да,нет,✅ AUDITED,,"Открывается: из «Профиля». Проверено чтением кода; браузерного прогона не было."
Экран,S-27 Добавки,src/components/SupplementSheet.jsx,"стек, дозы, приёмы",нет,да,нет,✅ AUDITED,,"Открывается: из «Дня». Проверено чтением кода; браузерного прогона не было."
Экран,S-28 Сканер штрихкода,src/components/BarcodeScanner.jsx,"камера, распознавание, ручной ввод",нет,да,нет,✅ AUDITED,,"Открывается: из листа добавления. Проверено чтением кода; браузерного прогона не было."
Экран,S-29 Вход и регистрация,src/components/AuthSheet.jsx,"почта, магия, Google, Web3",нет,да,нет,🚨 ISSUE FOUND,DEP-001,"Открывается: из «Профиля»/уведомления. Проверено чтением кода; браузерного прогона не было."
Экран,S-30 Сброс пароля,src/components/ResetPasswordSheet.jsx,смена пароля,нет,да,нет,✅ AUDITED,,"Открывается: ссылка из письма. Проверено чтением кода; браузерного прогона не было."
Экран,S-31 Редактор рецепта,src/components/RecipeEditorSheet.jsx,"ингредиенты, порции",нет,да,нет,✅ AUDITED,,"Открывается: из листа добавления. Проверено чтением кода; браузерного прогона не было."
Экран,S-32 Правовая информация,src/components/LegalSheet.jsx,"Impressum, AGB, Datenschutz",нет,да,нет,🚨 ISSUE FOUND,PRIV-001,"Открывается: из настроек. Проверено чтением кода; браузерного прогона не было."
Экран,S-33 Карточка «поделиться»,src/components/ShareCardSheet.jsx,картинка дня,нет,да,нет,✅ AUDITED,,"Открывается: из «Дня». Проверено чтением кода; браузерного прогона не было."
Экран,S-34 Мысли (лента профиля),src/components/ThoughtsFeed.jsx,"создание, правка, удаление, ответы",нет,да,нет,🚨 ISSUE FOUND,PRIV-002,"Открывается: профиль. Проверено чтением кода; браузерного прогона не было."
Экран,S-35 Экран ошибки,src/components/RootErrorBoundary.jsx,объяснение и выход,нет,да,нет,✅ AUDITED,,"Открывается: сбой приложения. Проверено чтением кода; браузерного прогона не было."
Компонент,AIHomeScreen.jsx,src/components/AIHomeScreen.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,AIPlansScreen.jsx,src/components/AIPlansScreen.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,AITab.jsx,src/components/AITab.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,AITonePanel.jsx,src/components/AITonePanel.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,AddMealSheet.jsx,src/components/AddMealSheet.jsx,UI,частично,да,нет,🚨 ISSUE FOUND,"UX-001,A11Y-001","Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,AuthNotice.jsx,src/components/AuthNotice.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,AuthSheet.jsx,src/components/AuthSheet.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,Avatar.jsx,src/components/Avatar.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,AvatarPicker.jsx,src/components/AvatarPicker.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,BarcodeScanner.jsx,src/components/BarcodeScanner.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,BodyPanel.jsx,src/components/BodyPanel.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,BottomNav.jsx,src/components/BottomNav.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,ChallengesScreen.jsx,src/components/ChallengesScreen.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,CoachMark.jsx,src/components/CoachMark.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,CoachScreen.jsx,src/components/CoachScreen.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,ConfirmDialog.jsx,src/components/ConfirmDialog.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,DayScreen.jsx,src/components/DayScreen.jsx,UI,частично,да,нет,🚨 ISSUE FOUND,A11Y-001,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,FeedScreen.jsx,src/components/FeedScreen.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,FeedTab.jsx,src/components/FeedTab.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,FollowButton.jsx,src/components/FollowButton.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,FoodInfoSheet.jsx,src/components/FoodInfoSheet.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,FriendsScreen.jsx,src/components/FriendsScreen.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,HistoryScreen.jsx,src/components/HistoryScreen.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,LazyBoundary.jsx,src/components/LazyBoundary.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,LegalSheet.jsx,src/components/LegalSheet.jsx,UI,частично,да,нет,🚨 ISSUE FOUND,PRIV-001,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,MacroBar.jsx,src/components/MacroBar.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,MealSectionSheet.jsx,src/components/MealSectionSheet.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,MicroGoalSheet.jsx,src/components/MicroGoalSheet.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,MyProfileSheet.jsx,src/components/MyProfileSheet.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,NotificationsScreen.jsx,src/components/NotificationsScreen.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,Onboarding.jsx,src/components/Onboarding.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,PeopleList.jsx,src/components/PeopleList.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,ProfileCounts.jsx,src/components/ProfileCounts.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,ProfileScreen.jsx,src/components/ProfileScreen.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,PromoRedeemForm.jsx,src/components/PromoRedeemForm.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,PublicProfile.jsx,src/components/PublicProfile.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,PushScreen.jsx,src/components/PushScreen.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,RecipeEditorSheet.jsx,src/components/RecipeEditorSheet.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,ResetPasswordSheet.jsx,src/components/ResetPasswordSheet.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,Ring.jsx,src/components/Ring.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,RootErrorBoundary.jsx,src/components/RootErrorBoundary.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,SaveTemplateSheet.jsx,src/components/SaveTemplateSheet.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,SettingsPanels.jsx,src/components/SettingsPanels.jsx,UI,частично,да,нет,🚨 ISSUE FOUND,PRIV-003,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,SettingsScreen.jsx,src/components/SettingsScreen.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,ShareCardSheet.jsx,src/components/ShareCardSheet.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,StatChart.jsx,src/components/StatChart.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,StatsScreen.jsx,src/components/StatsScreen.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,SupplementSheet.jsx,src/components/SupplementSheet.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,SupplementsCard.jsx,src/components/SupplementsCard.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,ThoughtsFeed.jsx,src/components/ThoughtsFeed.jsx,UI,частично,да,нет,🚨 ISSUE FOUND,PRIV-002,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,Toast.jsx,src/components/Toast.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,UserProfileView.jsx,src/components/UserProfileView.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,UserSearch.jsx,src/components/UserSearch.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,Web3Button.jsx,src/components/Web3Button.jsx,UI,частично,да,нет,🚨 ISSUE FOUND,DEP-001,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,ChatScreen.jsx,src/components/messaging/ChatScreen.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,ConversationInfo.jsx,src/components/messaging/ConversationInfo.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,ConversationSearch.jsx,src/components/messaging/ConversationSearch.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,ForwardSheet.jsx,src/components/messaging/ForwardSheet.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,InboxScreen.jsx,src/components/messaging/InboxScreen.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,MealSheets.jsx,src/components/messaging/MealSheets.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,MediaBubble.jsx,src/components/messaging/MediaBubble.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,MessageActions.jsx,src/components/messaging/MessageActions.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,MessageComposer.jsx,src/components/messaging/MessageComposer.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,MessageList.jsx,src/components/messaging/MessageList.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,MessageRequestsScreen.jsx,src/components/messaging/MessageRequestsScreen.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,NewMessageScreen.jsx,src/components/messaging/NewMessageScreen.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,SharedMedia.jsx,src/components/messaging/SharedMedia.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,ActionSheet.jsx,src/components/social/ActionSheet.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,FollowRequestsScreen.jsx,src/components/social/FollowRequestsScreen.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,PrivacyHub.jsx,src/components/social/PrivacyHub.jsx,UI,частично,да,нет,🚨 ISSUE FOUND,UX-002,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,RelationListScreen.jsx,src/components/social/RelationListScreen.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,RelationshipSheet.jsx,src/components/social/RelationshipSheet.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Компонент,ReportSheet.jsx,src/components/social/ReportSheet.jsx,UI,частично,да,нет,✅ AUDITED,,"Статический разбор: обработчики, состояния, очистка эффектов."
Модуль,aiBudget.js,src/lib/aiBudget.js,логика,да,да,да (node --test),🚨 ISSUE FOUND,SEC-001,"Покрыт автотестами, все зелёные."
Модуль,aiClient.js,src/lib/aiClient.js,логика,нет,да,нет,⚠️ PARTIALLY AUDITED,,Автотестов нет — только статический разбор.
Модуль,aiContext.js,src/lib/aiContext.js,логика,да,да,да (node --test),✅ AUDITED,,"Покрыт автотестами, все зелёные."
Модуль,aiPrompt.js,src/lib/aiPrompt.js,логика,да,да,да (node --test),🚨 ISSUE FOUND,AI-001,"Покрыт автотестами, все зелёные."
Модуль,alcohol.js,src/lib/alcohol.js,логика,нет,да,нет,⚠️ PARTIALLY AUDITED,,Автотестов нет — только статический разбор.
Модуль,appkit.js,src/lib/appkit.js,логика,нет,да,нет,🚨 ISSUE FOUND,DEP-001,Автотестов нет — только статический разбор.
Модуль,authErrors.js,src/lib/authErrors.js,логика,да,да,да (node --test),✅ AUDITED,,"Покрыт автотестами, все зелёные."
Модуль,authState.js,src/lib/authState.js,логика,да,да,да (node --test),✅ AUDITED,,"Покрыт автотестами, все зелёные."
Модуль,avatar.js,src/lib/avatar.js,логика,нет,да,нет,⚠️ PARTIALLY AUDITED,,Автотестов нет — только статический разбор.
Модуль,barcode.js,src/lib/barcode.js,логика,да,да,да (node --test),✅ AUDITED,,"Покрыт автотестами, все зелёные."
Модуль,body.js,src/lib/body.js,логика,да,да,да (node --test),✅ AUDITED,,"Покрыт автотестами, все зелёные."
Модуль,challenges.js,src/lib/challenges.js,логика,да,да,да (node --test),✅ AUDITED,,"Покрыт автотестами, все зелёные."
Модуль,chatFormat.js,src/lib/chatFormat.js,логика,да,да,да (node --test),✅ AUDITED,,"Покрыт автотестами, все зелёные."
Модуль,chatLog.js,src/lib/chatLog.js,логика,да,да,да (node --test),✅ AUDITED,,"Покрыт автотестами, все зелёные."
Модуль,conversationModel.js,src/lib/conversationModel.js,логика,да,да,да (node --test),✅ AUDITED,,"Покрыт автотестами, все зелёные."
Модуль,date.js,src/lib/date.js,логика,нет,да,нет,⚠️ PARTIALLY AUDITED,,Автотестов нет — только статический разбор.
Модуль,deviceId.js,src/lib/deviceId.js,логика,нет,да,нет,⚠️ PARTIALLY AUDITED,,Автотестов нет — только статический разбор.
Модуль,doubleTap.js,src/lib/doubleTap.js,логика,да,да,да (node --test),✅ AUDITED,,"Покрыт автотестами, все зелёные."
Модуль,exchange.js,src/lib/exchange.js,логика,нет,да,нет,🚨 ISSUE FOUND,CODE-001,Автотестов нет — только статический разбор.
